"log.Lot.Area","Lot.Config","Neighborhood","Bldg.Type","Overall.Qual","Overall.Cond","Year.Built","Central.Air","Electrical","Gr.Liv.Area","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","TotRms.AbvGrd","SalePrice"
10.3662777272636,"Corner","NAmes","1Fam",6,5,1960,"Y","SBrkr",1656,1,0,3,1,7,215000
9.36065513263505,"Inside","NAmes","1Fam",5,6,1961,"Y","SBrkr",896,1,0,2,1,5,105000
9.56570445711481,"Corner","NAmes","1Fam",6,6,1958,"Y","SBrkr",1329,1,1,3,1,6,172000
9.3200912359353,"Corner","NAmes","1Fam",7,5,1968,"Y","SBrkr",2110,2,1,3,1,8,244000
9.5345954246588,"Inside","Gilbert","1Fam",5,5,1997,"Y","SBrkr",1629,2,1,3,1,6,189900
9.20813794842098,"Inside","Gilbert","1Fam",6,6,1998,"Y","SBrkr",1604,2,1,3,1,7,195500
8.50106380948635,"Inside","StoneBr","TwnhsE",8,5,2001,"Y","SBrkr",1338,2,0,2,1,6,213500
8.51819269174932,"Inside","StoneBr","TwnhsE",8,5,1992,"Y","SBrkr",1280,2,0,2,1,5,191500
8.5921151179335,"Inside","StoneBr","TwnhsE",8,5,1995,"Y","SBrkr",1616,2,0,2,1,5,236500
8.9226582995244,"Inside","Gilbert","1Fam",7,5,1999,"Y","SBrkr",1804,2,1,3,1,7,189000
9.21034037197618,"Corner","Gilbert","1Fam",6,5,1993,"Y","SBrkr",1655,2,1,3,1,7,175900
8.98469369044386,"Inside","Gilbert","1Fam",6,7,1992,"Y","SBrkr",1187,2,0,3,1,6,185000
9.03622505172933,"Inside","Gilbert","1Fam",6,5,1998,"Y","SBrkr",1465,2,1,3,1,7,180400
9.2277872855799,"Inside","Gilbert","1Fam",7,5,1990,"Y","SBrkr",1341,1,1,2,1,5,171500
8.82761475083751,"Corner","StoneBr","TwnhsE",8,5,1985,"Y","SBrkr",1502,1,1,1,1,4,212000
10.8875116964444,"CulDSac","StoneBr","1Fam",8,5,2003,"Y","SBrkr",3279,3,1,4,1,12,538000
9.40376670850224,"Inside","Gilbert","1Fam",8,7,1988,"Y","SBrkr",1752,2,0,4,1,8,164000
9.34084218004034,"Corner","StoneBr","1Fam",9,2,2010,"Y","SBrkr",1856,1,1,1,1,8,394432
9.85943116633921,"Corner","Gilbert","1Fam",4,5,1951,"Y","SBrkr",864,1,0,2,1,4,141000
9.48607637340956,"Inside","NWAmes","1Fam",6,6,1978,"Y","SBrkr",2073,2,0,3,1,7,210000
9.37169362233394,"Inside","NWAmes","1Fam",6,6,1977,"Y","SBrkr",1844,2,0,3,1,7,190000
